abuses
shit
fuck
damn
bitch
crap
piss
dick
darn
cock
pussy
asshole
fag
bastard
slut
douche
bloody
cunt
bugger
bollocks
arsehole
fock
moron
wimp
cock
suck
nigger
death to 
ass
bellend
twat
wanker
tosser
minger
munter
scrubber
slag
piss
bitch
